phrases,pred,true
6554	De ridderslag voor een groep ridders van het Gulden Spoor vond op 30 december 1916 voor het laatst plaats bij de kroning van keizer Karel I van Oostenrijk tot Karel IV van Hongarije.,fra,nld
6612	De Royal Air Force vloog die dag meer dan 1000 vluchten.,deu,nld
"6700	De serie Veel leden van Generation X debuteerden gedurende de ""Phalanx Covenant"" saga, een crossover die alle X-Men gerelateerde striptitels besloeg in de zomer van 1994.",eng,nld
7411	De vlam van een olielamp komt met de kaarsvlam overeen.,eng,nld
"8173	Deze keer was dat in het $10.000 H.O.R.S.E. Championship, achter de Fransman Fabrice Soulier.",eng,nld
8194	Deze laatste was ook een soort geestelijke vader van de Kunstwerkstede en was regelmatig te vinden in de productieateliers.,deu,nld
"9276	Dolmens worden jentilarri of jentiletxe genoemd, de harrespils (een steenkist binnen een steencirkel ) worden jentilbaratz genoemd en grotten worden aangeduid met jentilzulo of jentilkoba.",eng,nld
9522	Dorps- of wijkraden krijgen hun taken en bevoegdheden van het centrale gemeentebestuur.,fra,nld
9988	Een noodlader is een oplader is bedoeld om een mobiele telefoon te voeden als de oplaadbare batterij helemaal leeg is of onvoldoende spanning levert.,deu,nld
9995	Een onafhankelijkheidsoorlog is een oorlog die uitbreekt na of voorafgaat aan de onafhankelijksverklaring van een nieuwe staat.,eng,nld
10000	Een ononderbroken lijn is een (mannelijke) Yang-lijn (陽); een in het midden onderbroken lijn een (vrouwelijke) Yin-lijn (陰).,deu,nld
263	Eso ha quedado claro.,ita,spa
"2829	""Chile vence a Perú, finaliza como líder de su grupo y hoy conoce a su rival en cuartos"", ""¿Quién sigue?",ita,spa
"3919	La pequeña Angela, con escasos siete años, dejó al público sorprendido al interpretar 'Pispireta', tema que recalcaba que ella era una más de los 'Aguilar' y la gente emocionada le aplaudió pidiendo 'otra, otra, otra'.",ita,spa
"5186	La fundadora y presidenta del Festival, Julia Salvi, dijo a Efe que este año es especial porque hay ""un repertorio extraordinario con Bach y unos interpretes igual de extraordinarios"".",ita,spa
"5421	Un cargo para el que tiene tiempo Chus Gutiérrez, realizadora de filmes como Retorno a Hansala, ha explicado que ""no es fácil ser director y guionista y presidente a la vez.",eng,spa
"6360	Perdón, ahora me acuerdo que España no tiene petroleo 1 usuarios disfrutaron este comentario Debes entrar para calificar este comentario positivamente.",eng,spa
"8153	La primera es de la propia Administración Nacional de Telecomunicaciones e Información del gobierno norteamericano, que puede vetar la resolución.",eng,spa
"8259	Pero me pareció que lo decía más con pinta de no que de sí"".",fra,spa
8659	¡Pero qué feo es!,ita,spa
"10000	La eclosión de los negocios de la distribución a gran escala, promovidos por inmobiliarias de capital nacional o foráneo, se disparó en los últimos tres años a la par que la crisis económica y la caída del consumo.",deu,spa
